Unnamed: 0,origin,destination,train_type,price,train_class,fare
3519,SEVILLA,MADRID,ALVIA,47.05,Turista,Promo
3520,SEVILLA,MADRID,AVE,53.4,Turista,Promo
3521,SEVILLA,MADRID,AVE,53.4,Turista,Promo
3522,SEVILLA,MADRID,AVE,60.3,Turista,Promo
3524,SEVILLA,MADRID,AVE,47.3,Turista,Promo
3525,SEVILLA,MADRID,AV City,52.2,Turista Plus,Promo
4226,MADRID,VALENCIA,AVE,21.95,Turista,Promo
4227,MADRID,VALENCIA,AVE,39.45,Turista,Promo
4228,MADRID,VALENCIA,AVE,21.95,Turista,Promo
4230,MADRID,VALENCIA,AVE,33.65,Turista,Promo
4232,MADRID,VALENCIA,AVE,45.3,Turista,Promo
4233,MADRID,VALENCIA,AVE-MD,71,Turista con enlace,Flexible
4234,MADRID,VALENCIA,AVE,45.3,Turista,Promo
4236,MADRID,VALENCIA,AVE-LD,56.1,Turista con enlace,Flexible
4240,MADRID,VALENCIA,AVE,51.15,Turista,Promo
4241,MADRID,VALENCIA,AVE,39.45,Turista,Promo
4242,MADRID,VALENCIA,AVE,33.65,Turista,Promo
4244,MADRID,VALENCIA,AVE,45.3,Turista,Promo
4246,MADRID,VALENCIA,AVE,33.65,Turista,Promo
4248,MADRID,VALENCIA,AVE,27.8,Turista,Promo
4249,MADRID,VALENCIA,AVE,39.45,Turista,Promo
4250,MADRID,VALENCIA,AVE-MD,71,Turista con enlace,Flexible
4251,MADRID,VALENCIA,AVE,33.65,Turista,Promo
4253,MADRID,VALENCIA,AVE,39.45,Turista,Promo
4254,MADRID,VALENCIA,AVE,45.3,Turista,Promo
4255,MADRID,VALENCIA,AVE,33.65,Turista,Promo
4411,MADRID,PONFERRADA,AVE-MD,35.75,Turista con enlace,Promo
4412,MADRID,PONFERRADA,AVE-LD,31.2,Turista con enlace,Promo
4413,MADRID,PONFERRADA,ALVIA,33.5,Turista,Promo
4690,VALENCIA,MADRID,AVE,39.45,Turista,Promo
4692,VALENCIA,MADRID,AVE,51.15,Turista,Promo
4693,VALENCIA,MADRID,AVE,51.15,Turista,Promo
4694,VALENCIA,MADRID,AVE,45.3,Turista,Promo
4697,VALENCIA,MADRID,AVE,45.3,Turista,Promo
4698,VALENCIA,MADRID,AVE,57.75,Turista,Promo
4702,VALENCIA,MADRID,AVE,57.75,Turista,Promo
4703,VALENCIA,MADRID,AVE,57.75,Turista,Promo
4704,VALENCIA,MADRID,AVE,57.75,Turista,Promo
4705,VALENCIA,MADRID,AVE,51.15,Turista,Promo
4710,VALENCIA,MADRID,AVE,39.45,Turista,Promo
4711,VALENCIA,MADRID,AVE,39.45,Turista,Promo
4712,VALENCIA,MADRID,AVE,45.3,Turista,Promo
4713,VALENCIA,MADRID,AVE,33.65,Turista,Promo
4716,VALENCIA,MADRID,AVE,33.65,Turista,Promo
4717,VALENCIA,MADRID,AVE,21.95,Turista,Promo
4718,VALENCIA,MADRID,AVE,27.8,Turista,Promo
5400,BARCELONA,MADRID,AVE,85.1,Turista,Promo
5415,PONFERRADA,MADRID,ALVIA,27.9,Turista,Promo
5664,BARCELONA,MADRID,AVE,66.75,Turista,Promo
5665,BARCELONA,MADRID,AVE,85.1,Turista,Promo
5666,BARCELONA,MADRID,AVE,85.1,Turista,Promo
5668,BARCELONA,MADRID,AVE,85.1,Turista,Promo
5669,BARCELONA,MADRID,AVE,107.7,Turista,Flexible
5670,BARCELONA,MADRID,AVE,107.7,Turista,Flexible
5672,BARCELONA,MADRID,AVE,102.15,Turista Plus,Promo
5673,BARCELONA,MADRID,AVE,90.5,Turista Plus,Promo
5674,BARCELONA,MADRID,AVE,90.5,Turista Plus,Promo
5676,BARCELONA,MADRID,AVE,100.4,Turista,Promo
5677,BARCELONA,MADRID,AVE,107.7,Turista,Flexible
5678,BARCELONA,MADRID,AVE,100.4,Turista,Promo
5680,BARCELONA,MADRID,AVE,100.4,Turista,Promo
5681,BARCELONA,MADRID,AVE,102.15,Turista Plus,Promo
5682,BARCELONA,MADRID,AVE,100.4,Turista,Promo
5684,BARCELONA,MADRID,AVE,85.1,Turista,Promo
5685,BARCELONA,MADRID,AVE,107.7,Turista,Flexible
5686,BARCELONA,MADRID,AVE,69.8,Turista Plus,Promo
5687,BARCELONA,MADRID,AVE,75.4,Turista,Promo
5688,BARCELONA,MADRID,AVE,75.4,Turista,Promo
5689,BARCELONA,MADRID,AVE,78.8,Turista,Promo
5690,BARCELONA,MADRID,AVE,85.1,Turista,Promo
5692,BARCELONA,MADRID,AVE,85.1,Turista,Promo
5693,BARCELONA,MADRID,AVE,75.4,Turista,Promo
5695,BARCELONA,MADRID,AVE,58.15,Turista,Promo
5696,BARCELONA,MADRID,AVE,66.75,Turista,Promo
5697,BARCELONA,MADRID,AVE,75.4,Turista,Promo
5698,BARCELONA,MADRID,AVE,69.8,Turista Plus,Promo
5700,BARCELONA,MADRID,AVE,58.15,Turista,Promo
5701,BARCELONA,MADRID,AVE,66.75,Turista,Promo
5702,BARCELONA,MADRID,AVE,49.55,Turista,Promo
7156,MADRID,SEVILLA,AV City,49.15,Turista,Promo
7159,MADRID,SEVILLA,AVE,76.3,Turista,Flexible
7173,MADRID,SEVILLA,AVE,64.05,Turista Plus,Promo
7174,MADRID,SEVILLA,AVE,64.05,Turista Plus,Promo
7175,MADRID,SEVILLA,AV City,52.2,Turista Plus,Promo
7176,MADRID,SEVILLA,AV City,58.95,Turista Plus,Promo
7177,MADRID,SEVILLA,AVE,47.3,Turista,Promo
7179,MADRID,SEVILLA,AVE,53.4,Turista,Promo
7181,MADRID,SEVILLA,AVE,53.4,Turista,Promo
7183,MADRID,SEVILLA,ALVIA,,Turista,Flexible
7184,MADRID,SEVILLA,AVE,76.3,Turista,Flexible
7188,MADRID,SEVILLA,AVE,47.3,Turista,Promo
7189,MADRID,SEVILLA,AVE,47.3,Turista,Promo
7190,MADRID,SEVILLA,AVE,47.3,Turista,Promo
7191,MADRID,SEVILLA,AVE,47.3,Turista,Promo
7192,MADRID,SEVILLA,AV City,52.2,Turista Plus,Promo
7474,BARCELONA,MADRID,AVE,69.8,Turista Plus,Promo
7475,BARCELONA,MADRID,AVE,75.4,Turista,Promo
7476,BARCELONA,MADRID,AVE,75.4,Turista,Promo
7477,BARCELONA,MADRID,AVE,78.8,Turista,Promo
7478,BARCELONA,MADRID,AVE,85.1,Turista,Promo
7480,BARCELONA,MADRID,AVE,85.1,Turista,Promo
7481,BARCELONA,MADRID,AVE,85.1,Turista,Promo
7482,BARCELONA,MADRID,AVE,75.4,Turista,Promo
7484,BARCELONA,MADRID,AVE,58.15,Turista,Promo
